"Unitid","PeerUnitid"
132693,135717
132693,136358
132693,135391
132693,136516
132693,132709
132693,135188
132693,136233
132693,136473
132693,137209
132693,134343
132693,133021
132693,134608
132693,135160
132693,137281
132693,137315
132693,138187
132693,133508
132693,132851
132693,137078
132693,137096
133881,166683
133881,167358
133881,126775
133881,168421
133881,190372
133881,195003
133881,211440
133881,194824
133881,212054
133881,179867
133881,186867
133881,190044
133881,219347
133881,441982
133881,239318
133881,178411
136774,109651
136774,202170
136774,166984
136774,194578
136774,120403
136774,143048
136774,169442
136774,111081
136774,217493
136774,163295
136774,215105
138293,171881
138293,170639
138293,205027
138293,219277
138293,133872
140818,141325
140818,198215
140818,218539
140818,220710
140818,139393
140818,140988
140818,199607
140818,139630
140818,141185
140818,139199
140818,140696
140818,198899
140818,199306
140818,101435
140818,198835
140818,198516
140818,140447
140818,219806
140818,198613
140818,140234
140818,217776
140818,217961
140818,218414
140818,138600
140818,140872
140818,221953
140818,139144
141167,191621
141167,220701
141167,107558
141167,161572
141167,201964
141167,233611
141167,237640
141167,144971
141167,146825
141167,237358
141167,153621
141167,217013
141167,218919
141167,139630
141167,141185
141167,155973
141167,143288
141167,141325
141185,220473
141185,139393
141185,140988
141185,217925
141185,139630
141185,213400
141185,123457
141185,219790
141185,215114
141185,133085
141185,201964
141185,138868
141185,194161
141185,141237
141185,174862
141185,216542
141185,217776
141185,221856
141185,157100
141185,174437
141185,138275
145497,197708
145497,434414
145497,196592
145646,146427
145646,212577
145646,143084
145646,206589
145646,150400
145336,149231
145336,147703
145336,152248
145336,149772
145372,150145
145372,145646
145372,152381
145372,169080
145372,169363
145372,146339
145372,147244
145372,150604
145372,152390
145372,146825
145372,147828
145372,219709
145372,150066
145372,149781
145372,151810
145372,152530
145372,156213
145372,156222
145372,172334
145372,146427
145372,149505
145372,150941
145372,151786
145372,150172
145372,170301
145372,145691
145372,147013
145372,152363
145372,146667
145372,173258
145372,174844
145372,151777
145372,150677
145372,152567
146339,144962
146339,173160
146339,147013
146339,149505
146339,149781
146339,152530
146339,147679
146339,238476
146339,147828
146339,149514
146339,143118
146676,165802
146676,141361
146676,199069
146676,218238
146676,207689
146676,214166
146676,164720
146676,138868
146676,231086
146676,213303
146676,219578
146676,140872
146676,165574
146977,145275
146977,175139
146977,139348
146977,172705
146977,122603
146977,196884
146977,144014
146977,157298
146977,147697
146977,146728
146977,153278
146977,164474
146977,223001
146977,143659
146977,150215
147244,209825
147244,237066
147244,204936
147244,150534
147244,173647
147244,173300
147244,177214
147244,153834
147244,144962
147244,151263
147660,144962
147660,150163
147660,201548
147660,110413
147660,201195
147660,203085
147660,239017
147660,152600
147660,175005
147660,143084
147660,149781
147660,177214
147660,203368
147660,121691
147660,204635
147660,209612
147660,150534
147660,197197
147660,219709
147660,148496
147660,173665
147660,198516
147660,204936
147660,145646
147660,153269
147660,169080
147660,236230
147660,179043
147776,227368
147776,152248
147776,185129
147776,151360
147776,227377
147776,100830
147776,144005
147776,190637
147776,224147
147776,110495
147776,110547
148496,169716
148496,201548
148496,154235
148496,175005
148496,123554
148496,151263
148496,178059
148496,145619
148496,146612
148496,148627
148496,227845
148496,147660
149231,127741
149231,176372
149231,182290
149231,220075
149231,228431
149231,105330
149231,122409
149231,156620
149231,179566
149231,217484
149231,149772
149231,174783
149231,196130
149231,110583
149231,147703
149231,170082
149231,178402
149231,185590
149231,229027
149231,154095
149231,155399
149231,206604
149231,227881
149231,237525
149231,198464
149231,199148
149231,207388
149231,240453
149231,141264
149231,164076
149231,173920
149231,176017
149231,240727
149231,200280
149231,228459
149231,110529
149231,110538
149231,172699
149231,203517
149231,216764
149231,139931
149231,149222
149231,216339
149231,144892
149231,157951
149231,229115
149231,230728
149231,199139
149231,237011
150400,203535
150400,153384
150400,173258
150400,174844
150400,204909
150400,150455
150400,210669
150400,173902
150400,202523
150400,204501
150400,152673
150604,150756
150604,153162
150604,238333
150604,239628
150604,146427
150604,157818
150604,179946
150604,168591
150604,204909
150604,168546
151388,218645
151388,151333
151388,151379
151388,240374
151388,100830
151388,159416
151388,171146
151388,178341
151388,180179
151388,200253
151388,152266
151388,208646
152390,173647
152390,150756
152390,153162
152390,153144
152390,204635
152390,152530
152390,146427
152390,150163
152390,153834
152390,170301
152390,168546
152390,152600
152390,170532
152390,174792
152992,153250
152992,154004
152992,181127
152992,219383
152992,153825
152992,153001
152992,219198
152992,154101
152992,219091
152992,153621
152992,181330
152992,181446
152992,180984
152992,153126
152992,154013
153126,152992
153126,154013
153126,238661
153126,153375
153126,238458
153126,153269
153126,238333
153126,143118
153126,145619
153126,146719
153126,153162
153126,154350
153126,153108
153126,153144
153126,153278
153126,173328
153126,239716
153126,240107
153126,153825
153126,153834
153126,154527
153126,143358
153126,239105
153126,154235
157085,240444
157085,104179
157085,153658
157085,171100
157085,134130
157085,204796
157085,170976
157085,178396
157085,110644
157085,174066
157085,199120
157289,182290
157289,137351
157289,172644
157289,234030
157289,215293
157289,178402
157289,218663
157289,178396
157289,145600
157289,196088
157289,196097
157289,100663
157289,110680
157289,110653
157289,151111
157289,201885
157289,216339
159391,233921
159391,221759
159391,243780
159391,139959
159391,181464
159391,176080
159391,126818
159391,145637
159391,153603
159391,199193
159391,228723
159391,163286
159391,106397
160612,199218
160612,200004
160612,220075
160612,228431
160612,228501
160612,156620
160612,159993
160612,163453
160612,199102
160612,220978
160612,224554
160612,228802
160612,102094
160612,106458
160612,221740
160612,225414
160612,222831
160612,227368
160612,228529
160612,138354
160612,157386
160612,206941
160612,217819
160612,221847
160612,226091
160612,227881
145646,173902
145646,202523
145646,221351
145646,173258
145646,174844
145646,203535
145646,239017
146481,150455
146481,153384
146481,170532
146481,173258
146481,174844
146481,204909
146481,168546
146481,203535
146481,206525
146481,239017
146481,170301
146481,150756
146481,173902
146481,202523
146481,145646
146481,238333
146481,150400
146481,152673
146481,204501
146481,206589
146481,143084
146481,147341
146481,149781
146481,146427
146481,239628
147536,144740
147536,144351
147536,147828
147536,148496
147536,148487
147536,143118
147536,145619
147536,146612
147536,146719
147536,148627
148405,143118
148405,145619
148405,147660
148405,148496
148405,238661
148405,144351
148405,144971
148405,238458
148405,143084
148405,143288
148405,147341
148405,147679
148405,238476
148405,239628
148405,153825
148405,144962
148487,144962
148487,236595
148487,194310
148487,169716
148487,179894
148487,143358
148487,167358
148487,184603
148487,239105
148487,115083
148487,129525
148487,144740
148487,145600
148487,168005
148487,215099
148487,212106
148487,147776
148487,186283
148487,193654
148487,153269
148724,143659
148724,165705
148724,146977
148724,149514
148724,147031
